Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;24212;"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition";conference and proceedings;"10636919";"IEEE Computer Society";No;No;4,718;-;601;2716;6084;161746;168132;6078;25,27;59,55;25,18;0;68;United States;Northern America;"IEEE Computer Society";"1992, 1994, 1996-2001, 2003-2004, 2006-2007, 2010-2024";"Computer Vision and Pattern Recognition; Software";"Computer Science"
2;110561;"Proceedings of the IEEE International Conference on Computer Vision";conference and proceedings;"15505499";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,544;-;397;0;4238;0;74546;4233;8,61;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988, 1995, 1998-1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015-2017, 2019, 2021, 2023";"Computer Vision and Pattern Recognition; Software";"Computer Science"
3;2300147402;"Proceedings of the Annual ACM Symposium on Theory of Computing";conference and proceedings;"07378017";"Association for Computing Machinery (ACM)";No;No;2,889;-;129;189;435;8152;2117;429;4,68;43,13;14,76;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-1982, 1984, 1988, 1991-1994, 1996, 2000, 2005-2024";"Software";"Computer Science"
4;144853;"Proceedings of the Annual International Symposium on Microarchitecture, MICRO";conference and proceedings;"10724451";"IEEE Computer Society";No;No;2,229;-;129;116;183;8130;1429;177;6,83;70,09;20,07;0;15;United States;Northern America;"IEEE Computer Society";"1972-1976, 1978-1979, 1989-1991, 1994-2011, 2015-2022, 2024";"Engineering (miscellaneous); Hardware and Architecture; Software";"Computer Science; Engineering"
5;84156;"Proceedings - IEEE Symposium on Security and Privacy";conference and proceedings;"10816011";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,978;-;184;264;468;19243;5300;460;9,94;72,89;23,27;0;13;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1999, 2002-2015, 2017-2024";"Computer Networks and Communications; Engineering (miscellaneous); Safety, Risk, Reliability and Quality; Software";"Computer Science; Engineering"
6;30611;"Proceedings of the ACM SIGMOD International Conference on Management of Data";conference and proceedings;"07308078";"Association for Computing Machinery (ACM)";No;No;1,959;-;184;92;555;3143;2861;549;4,35;34,16;24,95;0;6;United States;Northern America;"Association for Computing Machinery (ACM)";"1970-1972, 1974-1989, 1991-1994, 1996, 1999, 2001-2008, 2010-2024";"Information Systems; Software";"Computer Science"
7;110527;"Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms";conference and proceedings;"15579468, 10719040";"Association for Computing Machinery";No;No;1,930;-;112;194;522;8416;1534;518;2,82;43,38;17,98;0;2;United States;Northern America;"Association for Computing Machinery";"1990-1992, 1994-2025";"Mathematics (miscellaneous); Software";"Computer Science; Mathematics"
8;100459;"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS";conference and proceedings;"-";"Association for Computing Machinery";No;No;1,928;-;111;177;323;10937;2682;306;7,47;61,79;16,78;0;14;United States;Northern America;"Association for Computing Machinery";"1973, 1982, 1991-1992, 1994, 1998, 2000, 2002, 2006-2024";"Hardware and Architecture; Information Systems; Software";"Computer Science"
9;19242;"Proceedings - International Conference on Software Engineering";conference and proceedings;"02705257";"IEEE Computer Society";No;No;1,301;-;184;483;1259;20969;6994;1200;5,59;43,41;27,72;7;40;United States;Northern America;"IEEE Computer Society";"1976, 1978, 1980-1982, 1984-1985, 1987-1995, 1997-2016, 2018-2024";"Software";"Computer Science"
10;21100239652;"International Conference for High Performance Computing, Networking, Storage and Analysis, SC";conference and proceedings;"21674337, 21674329";"IEEE Computer Society";No;No;1,214;-;75;112;298;6037;1503;289;3,36;53,90;20,14;0;9;United States;Northern America;"IEEE Computer Society";"2012-2017, 2019-2024";"Computer Networks and Communications; Computer Science Applications; Hardware and Architecture; Software";"Computer Science"
11;94067;"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing";conference and proceedings;"-";"Association for Computing Machinery";No;No;1,174;-;81;64;169;2054;410;163;1,96;32,09;19,54;0;2;United States;Northern America;"Association for Computing Machinery";"1982, 1984-2024";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
12;21101153015;"Proceedings of Machine Learning Research";conference and proceedings;"26403498";"";No;No;1,170;-;125;4504;9976;229923;60729;9832;4,28;51,05;23,49;0;184;Netherlands;Western Europe;"";"2013, 2018-2024";"Artificial Intelligence; Control and Systems Engineering; Software; Statistics and Probability";"Computer Science; Engineering; Mathematics"
13;58745;"Proceedings - International Conference on Data Engineering";conference and proceedings;"23750286, 10844627";"IEEE Computer Society";No;No;1,165;-;159;501;984;24324;4503;978;4,58;48,55;26,45;0;34;United States;Northern America;"IEEE Computer Society";"1984, 1986, 1991-2015, 2017, 2019-2024";"Information Systems; Signal Processing; Software";"Computer Science"
14;110362;"Proceedings of the ACM Conference on Computer and Communications Security";conference and proceedings;"15437221";"Association for Computing Machinery (ACM)";No;No;1,150;-;218;0;601;0;4049;592;5,35;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1994, 1996-2023";"Computer Networks and Communications; Software";"Computer Science"
15;90600;"Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI)";conference and proceedings;"15317102";"Association for Computing Machinery";No;No;1,071;-;117;0;159;0;839;155;4,17;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"1988, 1990-1991, 1994-2022";"Software";"Computer Science"
16;25456;"Proceedings - IEEE International Conference on Robotics and Automation";conference and proceedings;"10504729";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,070;-;236;1762;3660;62084;17071;3654;4,55;35,23;20,66;0;196;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1984-1985, 1988-1989, 1991-2024";"Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering; Software";"Computer Science; Engineering"
17;25562;"Proceedings - Symposium on Logic in Computer Science";conference and proceedings;"10436871";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,970;-;72;74;232;3061;412;226;1,74;41,36;13,48;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1986-1987, 1990-2011, 2013, 2015-2019, 2021-2024";"Mathematics (miscellaneous); Software";"Computer Science; Mathematics"
18;31473;"Conference on Human Factors in Computing Systems - Proceedings";conference and proceedings;"-";"Association for Computing Machinery";No;No;0,889;-;247;1060;3864;93589;24705;3843;6,10;88,29;42,10;5;167;United States;Northern America;"Association for Computing Machinery";"1982-1983, 1986, 1988-2024";"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";"Computer Science"
19;85329;"Proceedings - Real-Time Systems Symposium";conference and proceedings;"10528725";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,884;-;88;44;156;1716;443;150;2,68;39,00;24,36;0;8;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1983-2013, 2015-2024";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
20;21101154803;"Conference on Machine Translation - Proceedings";conference and proceedings;"27680983";"Association for Computational Linguistics";No;No;0,790;-;17;135;228;3784;1159;224;5,08;28,03;24,09;0;4;United States;Northern America;"Association for Computational Linguistics";"2022-2024";"Human-Computer Interaction; Linguistics and Language; Software";"Computer Science; Social Sciences"
21;81474;"Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems";conference and proceedings;"10556338";"Association for Computing Machinery";No;No;0,740;-;90;6;105;84;177;101;1,76;14,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"1982, 1984, 1986, 1988, 1990-1995, 1998-2024";"Hardware and Architecture; Information Systems; Software";"Computer Science"
22;26104;"Proceedings - International Conference on Distributed Computing Systems";conference and proceedings;"25758411, 10636927";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,728;-;104;154;405;5160;1102;398;2,17;33,51;26,22;0;15;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982, 1984, 1986-2024";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
23;66854;"IEEE International Conference on Intelligent Robots and Systems";conference and proceedings;"21530858";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,681;-;160;1584;3353;49711;9573;3348;2,37;31,38;19,48;0;171;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988-1990, 1992-2003, 2006-2007, 2011-2024";"Computer Science Applications; Computer Vision and Pattern Recognition; Control and Systems Engineering; Software";"Computer Science; Engineering"
24;110544;"Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing";conference and proceedings;"07367791";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,668;-;199;1697;6291;41185;22031;6285;3,40;24,27;26,93;0;57;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1976-1977, 1981-2024";"Electrical and Electronic Engineering; Signal Processing; Software";"Computer Science; Engineering"
25;95165;"Proceedings of the IEEE Workshop on Computers in Power Electronics, COMPEL";conference and proceedings;"10935142";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,634;-;23;0;87;0;135;86;1,55;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2022";"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Engineering (miscellaneous); Software";"Computer Science; Engineering; Materials Science"
26;21100244929;"Leibniz International Proceedings in Informatics, LIPIcs";conference and proceedings;"18688969";"Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing";Yes;No;0,616;-;52;1687;4378;52415;4159;4167;0,91;31,07;18,61;0;33;Germany;Western Europe;"Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing";"2008-2025";"Logic; Software";"Computer Science; Mathematics"
27;21101222661;"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining";conference and proceedings;"2154817X";"Association for Computing Machinery";No;No;0,602;-;204;636;565;31650;2576;562;4,56;49,76;27,35;0;62;United States;Northern America;"Association for Computing Machinery";"2002-2003, 2005-2015, 2023-2024";"Information Systems; Software";"Computer Science"
28;145223;"Proceedings - International Conference on Network Protocols, ICNP";conference and proceedings;"10921648";"IEEE Computer Society";No;No;0,575;-;73;87;205;2968;414;196;1,44;34,11;23,51;0;5;United States;Northern America;"IEEE Computer Society";"2002-2014, 2016-2024";"Computer Networks and Communications; Engineering (miscellaneous); Software";"Computer Science; Engineering"
29;145123;"Proceedings - International Symposium on Software Reliability Engineering, ISSRE";conference and proceedings;"10719458";"IEEE Computer Society";No;No;0,556;-;66;56;178;2636;500;169;2,52;47,07;31,89;0;3;United States;Northern America;"IEEE Computer Society";"1991-2012, 2014, 2016-2024";"Engineering (miscellaneous); Safety, Risk, Reliability and Quality; Software";"Computer Science; Engineering"
