Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
69;21100198458;"IEEE Vehicular Networking Conference, VNC";conference and proceedings;"21579865, 21579857";"IEEE Computer Society";No;No;0,376;-;37;72;91;1042;147;87;1,37;14,47;18,43;0;22;United States;Northern America;"IEEE Computer Society";"2011-2013, 2015-2021, 2023-2024";"Automotive Engineering; Computer Networks and Communications; Control and Systems Engineering; Electrical and Electronic Engineering; Transportation";"Computer Science; Engineering; Social Sciences"
70;145419;"Proceedings - IEEE International Conference on Cluster Computing, ICCC";conference and proceedings;"15525244";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,374;-;52;42;244;1700;369;221;1,34;40,48;19,10;0;4;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2011, 2013, 2015-2024";"Engineering (miscellaneous); Hardware and Architecture; Signal Processing; Software";"Computer Science; Engineering"
71;24282;"Proceedings - International Conference on Pattern Recognition";conference and proceedings;"10514651";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,372;-;127;0;721;0;1261;718;1,75;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020-2022";"Computer Vision and Pattern Recognition";"Computer Science"
72;144684;"Proceedings - International Conference on Image Processing, ICIP";conference and proceedings;"15224880";"IEEE Computer Society";No;No;0,368;-;125;596;2364;15419;4327;2355;1,72;25,87;25,70;0;34;United States;Northern America;"IEEE Computer Society";"1994, 1997, 1999, 2004-2012, 2015-2024";"Computer Networks and Communications; Computer Vision and Pattern Recognition; Engineering (miscellaneous); Information Systems; Signal Processing; Software";"Computer Science; Engineering"
73;21100858680;"Advances in Database Technology - EDBT";conference and proceedings;"23672005";"OpenProceedings.org";No;No;0,365;-;29;56;260;2107;258;247;0,88;37,63;22,08;0;2;Germany;Western Europe;"OpenProceedings.org";"2016-2024";"Computer Science Applications; Information Systems; Software";"Computer Science"
74;145297;"Proceedings - International Symposium on Wearable Computers, ISWC";conference and proceedings;"15504816";"Association for Computing Machinery";No;No;0,363;-;61;0;31;0;78;30;2,60;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"2002-2012, 2014, 2017-2022";"Computer Networks and Communications; Engineering (miscellaneous); Hardware and Architecture; Software";"Computer Science; Engineering"
75;21101264424;"Proceedings of the ACM SIGCOMM Internet Measurement Conference, IMC";conference and proceedings;"21503761";"Association for Computing Machinery";No;No;0,351;-;7;86;67;3602;158;64;2,27;41,88;22,80;0;15;United States;Northern America;"Association for Computing Machinery";"2021, 2023-2024";"Computer Networks and Communications; Software";"Computer Science"
76;21100307481;"IEEE Haptics Symposium, HAPTICS";conference and proceedings;"23247347, 23247355";"IEEE Computer Society";No;No;0,350;-;28;38;41;829;55;39;1,34;21,82;33,61;0;2;United States;Northern America;"IEEE Computer Society";"2014, 2016, 2018, 2020, 2022, 2024";"Artificial Intelligence; Human-Computer Interaction";"Computer Science"
77;21101123252;"Proceedings - IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems, DFT";conference and proceedings;"25761501, 2765933X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,350;-;7;43;118;903;149;112;1,20;21,00;19,25;0;2;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2024";"Electrical and Electronic Engineering; Hardware and Architecture; Safety, Risk, Reliability and Quality; Signal Processing";"Computer Science; Engineering"
78;96537;"Proceedings of the International Joint Conference on Neural Networks";conference and proceedings;"-";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,349;-;105;1650;3247;55920;5247;3238;1,41;33,89;29,18;0;168;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-1993, 1999-2003, 2005, 2008-2024";"Artificial Intelligence; Software";"Computer Science"
79;21100877174;"High-Performance Graphics - ACM SIGGRAPH / Eurographics Symposium Proceedings, HPG";conference and proceedings;"20798687, 20798679";"Association for Computing Machinery";No;No;0,339;-;19;0;7;0;12;6;0,00;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"2010, 2016, 2018-2019, 2021";"Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Hardware and Architecture; Software";"Computer Science"
80;12222;"Conference Record of the Asilomar Conference on Signals, Systems and Computers";conference and proceedings;"10586393";"IEEE Computer Society";No;No;0,337;-;88;0;896;0;776;890;0,67;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"1985, 1992-1995, 1997-2023";"Computer Networks and Communications; Signal Processing";"Computer Science"
81;21100275520;"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA";conference and proceedings;"19460759, 19460740";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,335;-;54;312;791;6740;1097;787;1,39;21,60;14,68;0;136;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-1993, 1996-1997, 1999, 2001, 2003, 2005-2008, 2011-2013, 2015-2024";"Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Engineering (miscellaneous); Industrial and Manufacturing Engineering";"Computer Science; Engineering"
82;21100283373;"IEEE Conference on Computatonal Intelligence and Games, CIG";conference and proceedings;"23254289, 23254270";"IEEE Computer Society";No;No;0,333;-;33;146;395;3542;540;390;1,21;24,26;20,80;0;10;United States;Northern America;"IEEE Computer Society";"2013-2014, 2016-2024";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";"Computer Science"
83;21100269622;"IEEE International Conference on High Performance Switching and Routing, HPSR";conference and proceedings;"23255609, 23255595";"IEEE Computer Society";No;No;0,333;-;21;41;162;729;225;156;1,50;17,78;14,29;0;2;United States;Northern America;"IEEE Computer Society";"2000, 2002-2003, 2013, 2016-2024";"Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
84;21100255708;"Integrated Communications, Navigation and Surveillance Conference, ICNS";conference and proceedings;"21554951, 21554943";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,327;-;15;61;170;1238;199;166;1,07;20,30;16,46;0;19;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2014, 2019-2024";"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction";"Computer Science"
85;21100244944;"Electronic Proceedings in Theoretical Computer Science, EPTCS";conference and proceedings;"20752180";"Open Publishing Association";Yes;Yes;0,326;-;27;228;985;4064;467;846;0,44;17,82;21,12;0;6;United States;Northern America;"Open Publishing Association";"2009-2024";"Software";"Computer Science"
86;23681;"Proceedings of the IEEE Symposium on Computer-Based Medical Systems";conference and proceedings;"10637125";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,325;-;45;92;354;2033;502;348;1,23;22,10;25,36;0;29;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-2024";"Computer Science Applications; Radiology, Nuclear Medicine and Imaging";"Computer Science; Medicine"
87;145121;"Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS";conference and proceedings;"15267539";"IEEE Computer Society";No;No;0,320;-;41;36;79;789;83;73;0,88;21,92;25,47;0;5;United States;Northern America;"IEEE Computer Society";"1995, 2000, 2002-2006, 2009, 2013, 2015, 2019-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Engineering (miscellaneous); Modeling and Simulation; Software";"Computer Science; Engineering; Mathematics"
88;26694;"Proceedings of The International Symposium on Multiple-Valued Logic";conference and proceedings;"0195623X";"IEEE Computer Society";No;No;0,319;-;30;33;108;569;94;101;0,97;17,24;16,46;0;0;United States;Northern America;"IEEE Computer Society";"1976-1983, 1986-2010, 2012-2024";"Computer Science (miscellaneous); Mathematics (miscellaneous)";"Computer Science; Mathematics"
89;21100248929;"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives";conference and proceedings;"16821750";"";Yes;Yes;0,311;-;91;704;2748;14623;3207;2661;1,19;20,77;34,13;0;350;Germany;Western Europe;"";"2000, 2002-2024";"Geography, Planning and Development; Information Systems";"Computer Science; Social Sciences"
90;21100204301;"European Signal Processing Conference";conference and proceedings;"22195491";"European Signal Processing Conference, EUSIPCO";No;No;0,305;-;59;553;1793;12091;2121;1787;1,08;21,86;20,95;0;39;Poland;Eastern Europe;"European Signal Processing Conference, EUSIPCO";"1996, 1998, 2000, 2002, 2004, 2006-2016, 2018-2024";"Electrical and Electronic Engineering; Signal Processing";"Computer Science; Engineering"
91;21101200922;"Proceedings of the International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks, WiOpt";conference and proceedings;"26903342, 26903334";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,305;-;4;48;93;1074;78;92;0,84;22,38;23,29;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2023-2024";"Computer Networks and Communications; Control and Optimization; Information Systems and Management; Modeling and Simulation";"Computer Science; Decision Sciences; Mathematics"
92;21100238651;"IEEE Radio and Wireless Symposium, RWS";conference and proceedings;"21642974, 21642958";"IEEE Computer Society";No;No;0,304;-;22;48;154;399;172;148;1,16;8,31;21,01;0;1;United States;Northern America;"IEEE Computer Society";"2013-2024";"Communication; Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering";"Computer Science; Engineering; Social Sciences"
93;21101083166;"Proceedings of the International Symposium on Automation and Robotics in Construction";conference and proceedings;"24135844";"International Association for Automation and Robotics in Construction (IAARC)";No;No;0,302;-;9;176;332;4181;430;326;1,15;23,76;22,24;0;63;Finland;Western Europe;"International Association for Automation and Robotics in Construction (IAARC)";"2021-2024";"Artificial Intelligence; Building and Construction; Civil and Structural Engineering; Computer Science Applications; Control and Systems Engineering; Safety, Risk, Reliability and Quality";"Computer Science; Engineering"
94;21101062800;"Proceedings of the Design Society";conference and proceedings;"2732527X";"Cambridge University Press";No;No;0,301;-;14;306;1002;9157;1221;998;1,20;29,92;30,13;0;101;United Kingdom;Western Europe;"Cambridge University Press";"2021-2024";"Computer Graphics and Computer-Aided Design; Computer Science Applications; Modeling and Simulation; Software";"Computer Science; Mathematics"
95;76112;"IEEE Workshop on Statistical Signal Processing Proceedings";conference and proceedings;"23730803, 26933551";"IEEE Computer Society";No;No;0,300;-;35;0;275;0;277;267;0,98;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2001, 2003, 2005, 2007, 2009, 2011, 2014, 2016, 2021, 2023";"Applied Mathematics; Computer Science Applications; Electrical and Electronic Engineering; Signal Processing";"Computer Science; Engineering; Mathematics"
96;13706;"Proceedings of the Data Compression Conference";conference and proceedings;"10680314";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,299;-;57;113;232;1013;330;229;1,01;8,96;27,25;0;2;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-2024";"Computer Networks and Communications";"Computer Science"
97;26058;"IEEE Workshop on Signal Processing Systems, SiPS: Design and Implementation";conference and proceedings;"15206130";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,296;-;36;38;83;857;122;79;0,97;22,55;16,81;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1999-2005, 2007-2010, 2012-2022, 2024";"Applied Mathematics; Electrical and Electronic Engineering; Hardware and Architecture; Media Technology; Signal Processing";"Computer Science; Engineering; Mathematics"
98;21100901570;"Proceedings of International Conference on Applied Innovation in IT";conference and proceedings;"21998876";"Anhalt University of Applied Sciences";Yes;No;0,294;-;7;69;98;1352;70;94;0,83;19,59;49,06;0;37;Germany;Western Europe;"Anhalt University of Applied Sciences";"2018-2024";"Computer Science Applications; Engineering (miscellaneous); Information Systems; Information Systems and Management";"Computer Science; Decision Sciences; Engineering"
99;21100395950;"Proceedings of the European Test Workshop";conference and proceedings;"15301877, 15581780";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,293;-;19;57;156;1195;156;150;0,97;20,96;20,18;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993, 2000-2003, 2016-2024";"Electrical and Electronic Engineering; Industrial and Manufacturing Engineering; Software";"Computer Science; Engineering"
100;21100201906;"International Conference on Information Networking";conference and proceedings;"19767684";"IEEE Computer Society";No;No;0,291;-;38;161;441;2632;620;432;1,24;16,35;17,26;0;31;United States;Northern America;"IEEE Computer Society";"2001, 2012-2024";"Computer Networks and Communications; Information Systems";"Computer Science"
101;20600195637;"Forum on Specification and Design Languages";conference and proceedings;"16369874";"IEEE Computer Society";No;No;0,290;-;13;13;49;330;57;43;0,87;25,38;14,29;0;0;United States;Northern America;"IEEE Computer Society";"2011-2013, 2015-2018, 2020-2024";"Computer Vision and Pattern Recognition; Hardware and Architecture; Signal Processing";"Computer Science"
102;34202;"Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings";conference and proceedings;"05891019";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,289;-;104;1389;3980;24127;4520;3973;0,99;17,37;32,02;0;267;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1974-1984, 1989-2008, 2010-2024";"Biomedical Engineering; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering; Health Informatics; Signal Processing";"Computer Science; Engineering; Medicine"
103;21101131203;"IEEE International Conference on Software Quality, Reliability and Security, QRS";conference and proceedings;"26939177";"Institute of Electrical and Electronics Engineers";No;No;0,289;-;9;73;290;2461;326;287;0,97;33,71;34,96;0;4;United States;Northern America;"Institute of Electrical and Electronics Engineers";"2021-2024";"Safety, Risk, Reliability and Quality; Software";"Computer Science; Engineering"
104;21100901146;"Proceedings - European Workshop on Visual Information Processing, EUVIP";conference and proceedings;"24718963";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,289;-;13;35;119;777;169;115;1,49;22,20;29,37;0;5;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2018-2019, 2021-2024";"Computer Vision and Pattern Recognition; Information Systems; Signal Processing";"Computer Science"
105;94992;"IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems";conference and proceedings;"2835947X, 27679357";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,284;-;34;33;124;856;128;121;0,95;25,94;12,90;0;5;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1996, 1999, 2001, 2003, 2006, 2008, 2010, 2012, 2015-2017, 2020-2024";"Computer Science Applications; Control and Systems Engineering; Software";"Computer Science; Engineering"
106;21000195607;"International Conference on Wireless and Mobile Computing, Networking and Communications";conference and proceedings;"21619646, 21619654";"IEEE Computer Society";No;No;0,284;-;34;122;237;2338;289;232;1,21;19,16;25,68;0;42;United States;Northern America;"IEEE Computer Society";"2011-2014, 2016-2024";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
107;21100205716;"Proceedings - International Symposium on Quality Electronic Design, ISQED";conference and proceedings;"19483287, 19483295";"IEEE Computer Society";No;No;0,284;-;39;109;307;2678;389;301;1,07;24,57;18,06;0;19;United States;Northern America;"IEEE Computer Society";"2000-2003, 2005-2006, 2012-2024";"Electrical and Electronic Engineering; Hardware and Architecture; Safety, Risk, Reliability and Quality";"Computer Science; Engineering"
108;21100286357;"Proceedings of IEEE Computer Society Annual Symposium on VLSI, ISVLSI";conference and proceedings;"21593469, 21593477";"IEEE Computer Society";No;No;0,283;-;33;157;230;3345;288;221;1,26;21,31;19,91;0;31;United States;Northern America;"IEEE Computer Society";"2002-2003, 2013-2024";"Control and Systems Engineering; Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
109;21101132207;"Proceedings of the International Conference on New Interfaces for Musical Expression";conference and proceedings;"22204792, 22204806";"";No;No;0,283;-;44;94;243;2821;285;240;1,08;30,01;23,08;0;7;Norway;Western Europe;"";"2001-2024";"Computer Science Applications; Control and Systems Engineering; Hardware and Architecture; Human-Computer Interaction; Instrumentation; Music; Signal Processing";"Arts and Humanities; Computer Science; Engineering; Physics and Astronomy"
110;21100215175;"Proceedings International Radar Symposium";conference and proceedings;"21555753, 21555745";"IEEE Computer Society";No;No;0,282;-;29;80;249;1113;228;246;1,02;13,91;17,77;0;3;United States;Northern America;"IEEE Computer Society";"2005, 2007, 2012-2024";"Astronomy and Astrophysics; Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Instrumentation; Signal Processing";"Computer Science; Engineering; Physics and Astronomy"
111;19126;"Proceedings - Annual Reliability and Maintainability Symposium";conference and proceedings;"0149144X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,281;-;48;108;316;1236;171;312;0,50;11,44;16,96;0;13;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1974-2024";"Computer Science Applications; Engineering (miscellaneous); Mathematics (miscellaneous); Safety, Risk, Reliability and Quality";"Computer Science; Engineering; Mathematics"
112;21100220409;"Proceedings of IEEE Workshop on Advanced Robotics and its Social Impacts, ARSO";conference and proceedings;"21627576, 21627568";"IEEE Computer Society";No;No;0,274;-;21;48;77;1124;94;74;1,33;23,42;33,53;0;9;United States;Northern America;"IEEE Computer Society";"2007-2013, 2015-2019, 2021-2024";"Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering; Human-Computer Interaction; Social Sciences (miscellaneous)";"Computer Science; Engineering; Social Sciences"
113;21100222921;"IEEE International Workshop on Machine Learning for Signal Processing, MLSP";conference and proceedings;"21610363, 21610371";"IEEE Computer Society";No;No;0,272;-;34;123;290;2593;286;286;0,85;21,08;22,94;0;7;United States;Northern America;"IEEE Computer Society";"2012-2024";"Human-Computer Interaction; Signal Processing";"Computer Science"
114;21100324438;"International Conference on Cyber Conflict, CYCON";conference and proceedings;"23255374, 23255366";"NATO CCD COE Publications";No;No;0,272;-;23;23;74;1153;87;68;0,98;50,13;25,58;0;9;United States;Northern America;"NATO CCD COE Publications";"2013-2024";"Computer Networks and Communications";"Computer Science"
115;21101131208;"International Winter Conference on Brain-Computer Interface, BCI";conference and proceedings;"25727672";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,271;-;7;57;109;1207;136;104;1,25;21,18;28,30;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2022-2024";"Artificial Intelligence; Human-Computer Interaction; Signal Processing";"Computer Science"
116;21101106370;"Proceedings of the International Conference on Digital Audio Effects, DAFx";conference and proceedings;"24136700, 24136689";"";No;No;0,271;-;41;68;100;1945;104;94;1,06;28,60;15,25;0;2;Austria;Western Europe;"";"1998-2005, 2007-2014, 2016-2024";"Computer Science Applications; Music; Signal Processing";"Arts and Humanities; Computer Science"
117;18707;"Proceedings - International Symposium on Computers and Communications";conference and proceedings;"15301346";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,267;-;56;176;612;3720;649;604;0,99;21,14;24,88;0;35;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1995, 1997, 1999-2024";"Computer Networks and Communications; Computer Science Applications; Mathematics (miscellaneous); Signal Processing; Software";"Computer Science; Mathematics"
118;21100809799;"IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks, CAMAD";conference and proceedings;"23784873";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,263;-;24;0;142;0;147;138;0,87;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2023";"Acoustics and Ultrasonics; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Mechanical Engineering; Mechanics of Materials";"Computer Science; Engineering; Physics and Astronomy"
119;82000;"International Geoscience and Remote Sensing Symposium (IGARSS)";conference and proceedings;"-";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,263;-;87;2593;5817;34004;4995;5814;0,83;13,11;29,99;0;640;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-1983, 1985-2024";"Computer Science Applications; Earth and Planetary Sciences (miscellaneous)";"Computer Science; Earth and Planetary Sciences"
120;21100269632;"IEEE Pacific Visualization Symposium";conference and proceedings;"21658765, 21658773";"IEEE Computer Society";No;No;0,262;-;31;45;85;1680;139;79;1,31;37,33;31,84;0;3;United States;Northern America;"IEEE Computer Society";"2013-2024";"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Hardware and Architecture; Software";"Computer Science"
121;21101131201;"Proceedings of the IEEE Radar Conference";conference and proceedings;"10975764, 23755318";"Institute of Electrical and Electronics Engineers";No;No;0,262;-;10;219;1430;4050;1053;1421;1,13;18,49;16,72;0;5;United States;Northern America;"Institute of Electrical and Electronics Engineers";"2021-2024";"Computer Networks and Communications; Instrumentation; Signal Processing";"Computer Science; Physics and Astronomy"
122;21100239837;"International Conference on Human System Interaction, HSI";conference and proceedings;"21582246, 21582254";"IEEE Computer Society";No;No;0,259;-;14;80;113;2031;138;110;1,25;25,39;31,91;0;23;United States;Northern America;"IEEE Computer Society";"2012, 2019-2022, 2024";"Human-Computer Interaction; Software";"Computer Science"
123;21100291854;"International IEEE/EMBS Conference on Neural Engineering, NER";conference and proceedings;"19483554, 19483546";"IEEE Computer Society";No;No;0,259;-;33;0;429;0;381;425;0,90;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2003, 2013, 2015, 2017, 2019, 2021, 2023";"Artificial Intelligence; Mechanical Engineering";"Computer Science; Engineering"
124;145228;"Proceedings - Winter Simulation Conference";conference and proceedings;"08917736";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,259;-;65;303;863;7862;744;860;0,81;25,95;24,02;0;77;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1971, 1973-1974, 1976-1980, 1992-1993, 2004-2013, 2015-2024";"Computer Science Applications; Modeling and Simulation; Software";"Computer Science; Mathematics"
125;10900153316;"IEEE International Conference on Industrial Informatics (INDIN)";conference and proceedings;"19354576";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,257;-;39;317;370;6177;443;365;1,16;19,49;27,37;0;115;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2003, 2007-2013, 2016, 2019-2024";"Computer Science Applications; Information Systems";"Computer Science"
126;110565;"IEEE International Conference on Fuzzy Systems";conference and proceedings;"10987584";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,254;-;69;121;472;3053;431;466;0,85;25,23;24,93;0;21;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2009, 2011-2015, 2017-2024";"Applied Mathematics; Artificial Intelligence; Software; Theoretical Computer Science";"Computer Science; Mathematics"
127;21101194134;"The International Symposium on Combinatorial Search";conference and proceedings;"28329171, 28329163";"Association for the Advancement of Artificial Intelligence";No;No;0,253;-;4;60;43;886;41;41;0,95;14,77;13,22;0;5;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2023-2024";"Computer Networks and Communications";"Computer Science"
128;21100197325;"International Congress on Ultra Modern Telecommunications and Control Systems and Workshops";conference and proceedings;"21570221, 2157023X";"IEEE Computer Society";No;No;0,251;-;24;0;130;0;154;127;1,02;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2011-2023";"Computer Networks and Communications; Control and Systems Engineering";"Computer Science; Engineering"
129;21100223148;"Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC";conference and proceedings;"19436106, 19436092";"IEEE Computer Society";No;No;0,251;-;29;61;154;2203;217;148;1,19;36,11;30,52;0;8;United States;Northern America;"IEEE Computer Society";"2012-2024";"Computational Theory and Mathematics; Human-Computer Interaction; Software";"Computer Science"
130;21100216940;"Wireless Telecommunications Symposium";conference and proceedings;"19345070";"IEEE Computer Society";No;No;0,251;-;22;16;52;273;40;46;0,81;17,06;9,09;0;3;United States;Northern America;"IEEE Computer Society";"2011-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Signal Processing";"Computer Science; Engineering"
131;21100255324;"Proceedings of International Conference on Service Science, ICSS";conference and proceedings;"21653828, 21653836";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,250;-;10;0;67;0;77;63;1,21;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013, 2015-2016, 2020-2022";"Computer Science (miscellaneous); Industrial and Manufacturing Engineering; Management Science and Operations Research";"Computer Science; Decision Sciences; Engineering"
132;21100199555;"eCrime Researchers Summit, eCrime";conference and proceedings;"21591245, 21591237";"IEEE Computer Society";No;No;0,249;-;21;0;36;0;48;33;1,13;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2011-2023";"Computer Networks and Communications; Computer Science Applications; Information Systems; Information Systems and Management";"Computer Science; Decision Sciences"
133;21100901947;"Digital Presentation and Preservation of Cultural and Scientific Heritage";conference and proceedings;"25350366, 13144006";"Bulgarian Academy of Sciences, Institute of Mathematics and Informatics";Yes;No;0,243;-;9;35;110;437;60;105;0,54;12,49;46,99;0;14;Bulgaria;Eastern Europe;"Bulgarian Academy of Sciences, Institute of Mathematics and Informatics";"2014, 2017-2024";"Computer Science Applications; Information Systems; Library and Information Sciences; Museology";"Arts and Humanities; Computer Science; Social Sciences"
134;21100217639;"Proceedings of the IEEE RAS and EMBS International Conference on Biomedical Robotics and Biomechatronics";conference and proceedings;"21551774";"IEEE Computer Society";No;No;0,240;-;37;272;130;6971;127;128;0,98;25,63;29,19;0;62;United States;Northern America;"IEEE Computer Society";"2012, 2014, 2016, 2018, 2020, 2022, 2024";"Artificial Intelligence; Biomedical Engineering; Mechanical Engineering";"Computer Science; Engineering"
135;21100888800;"Conference proceedings International Research Council on the Biomechanics of Injury, IRCOBI";conference and proceedings;"22353151";"International Research Council on the Biomechanics of Injury";No;No;0,239;-;20;137;342;2370;180;338;0,58;17,30;26,72;0;32;Switzerland;Western Europe;"International Research Council on the Biomechanics of Injury";"2016-2024";"Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Hardware and Architecture; Software";"Computer Science"
136;21100398701;"IEEE International Conference on Data Mining Workshops, ICDMW";conference and proceedings;"23759232, 23759259";"IEEE Computer Society";No;No;0,238;-;37;0;498;0;500;486;0,84;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2014-2023";"Computer Science Applications; Software";"Computer Science"
137;21100198514;"Proceedings of IEEE Pacific Rim International Symposium on Dependable Computing, PRDC";conference and proceedings;"15410110";"IEEE Computer Society";No;No;0,238;-;24;35;108;818;97;98;0,78;23,37;24,42;0;2;United States;Northern America;"IEEE Computer Society";"2000-2002, 2011-2014, 2017-2024";"Computational Theory and Mathematics; Computer Science Applications; Hardware and Architecture; Software";"Computer Science"
138;21101090643;"Proceedings of the International Florida Artificial Intelligence Research Society Conference, FLAIRS";conference and proceedings;"23340754, 23340762";"Florida Online Journals, University of Florida";Yes;Yes;0,237;-;10;131;381;2601;314;375;0,87;19,85;29,73;0;18;United States;Northern America;"Florida Online Journals, University of Florida";"2021-2024";"Artificial Intelligence; Software";"Computer Science"
139;21101186978;"Proceedings of the European Conference on Computing in Construction";conference and proceedings;"26841150";"European Council on Computing in Construction (EC3)";No;No;0,231;-;12;133;274;3569;253;270;0,81;26,83;31,41;0;46;Belgium;Western Europe;"European Council on Computing in Construction (EC3)";"2019, 2021-2024";"Building and Construction; Information Systems";"Computer Science; Engineering"
140;21100297597;"Annals of DAAAM and Proceedings of the International DAAAM Symposium";conference and proceedings;"17269679";"DAAAM International Vienna";No;No;0,229;-;22;52;259;904;118;253;0,47;17,38;31,30;0;17;Austria;Western Europe;"DAAAM International Vienna";"2005-2011, 2015-2023";"Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Industrial and Manufacturing Engineering; Mechanical Engineering";"Computer Science; Engineering"
